bid_month,alert_price,bid_people_num,license_num,lowest_price
201701,86000,232101,12215,87600
201612,86800,219882,12261,88300
201611,86800,215424,11549,88600
201610,86800,213212,11621,88300
201609,84800,229544,12889,86500
201608,84800,251188,11549,86900
201607,84800,240750,11475,87200
201606,82800,275438,11546,84400
201605,82800,277889,11598,85000
201604,82800,256897,11829,85100
201603,80600,221109,8310,83100
201602,80600,196470,8363,83200
201601,80600,187533,9409,82200
201512,82600,179133,7698,84500
201511,82600,169159,7514,84600
201510,82600,170995,7763,85300
201509,79900,165765,8727,82100
201508,79900,166939,7454,82600
201507,79900,166302,7531,83100
201506,75200,172205,7441,80000
201505,75200,156007,7482,79000
201504,75200,152298,8288,80600
201503,73700,132690,7406,74600
201502,73700,103224,7653,76500
201501,73700,98203,7990,74000
201412,72600,96972,7447,73600
201411,72600,95595,7400,73500
201410,72600,105532,7400,74000
201409,72600,122219,8300,73800
201408,72600,121550,7400,73600
201407,72600,136098,7400,74600
201406,72600,135677,7400,73800
201405,72600,114121,7400,74400
201404,72600,94241,8200,74000
201403,72600,61853,7400,73800
201402,72600,45758,7400,73200
201401,72600,41946,8100,73500
201312,74900,39625,8500,76000
201311,74900,38220,8500,75500
201309,72600,35154,9000,73400
201308,74100,22650,9000,74700
201307,75400,21811,9000,76300
201306,77300,21482,9000,77600
201305,79900,22224,9000,80700
201304,83600,26174,11000,83900
